ProductName,Category,Brand,UnitPrice
Badminton Set,Home & Furniture,FakeUrbanGlow,719
Sled,Toys & Games,FakeUrbanGlow,133
Tackle Box,Kitchen & Dining,FakeZenithStyle,679
VR Headset,Health & Fitness,FakeZenithStyle,112
Drone,Electronics,FakeZenithStyle,179
Tent,Health & Fitness,FakeEtherealEdge,670
Kayak,Sports & Recreation,FakeZenithStyle,949
Snow Shovel,Health & Fitness,FakeEtherealEdge,857
Jacket,Electronics,FakeLuxeAura,362
Sheets,Home & Furniture,FakeVelvetVista,153
3D Printer,Health & Fitness,FakeUrbanGlow,375
Fitness Tracker,Outdoor & Garden,FakeVelvetVista,313
Rain Jacket,Sports & Recreation,FakeEtherealEdge,541
Basketball,Kitchen & Dining,FakeZenithStyle,314
Memory Card,Arts & Crafts,FakeEtherealEdge,822
Suitcase,Sports & Recreation,FakeVelvetVista,625
Fitness Tracker,Electronics,FakeLuxeAura,640
Garden Tools,Kitchen & Dining,FakeVelvetVista,588
Suitcase,Sports & Recreation,FakeZenithStyle,142
Supplement,Sports & Recreation,FakeVelvetVista,166
Hair Dryer,Kitchen & Dining,FakeEtherealEdge,293
VR Headset,Outdoor & Garden,FakeVelvetVista,581
Backpack,Home & Furniture,FakeZenithStyle,688
Dumbbells,Outdoor & Garden,FakeUrbanGlow,501
Portable Hard Drive,Arts & Crafts,FakeVelvetVista,749
Lawn Sprinkler,Electronics,FakeEtherealEdge,180
Oven,Toys & Games,FakeZenithStyle,349
Dart Board,Electronics,FakeVelvetVista,613
Earbuds,Arts & Crafts,FakeUrbanGlow,218
Sleeping Bag,Arts & Crafts,FakeUrbanGlow,389
Action Figure,Health & Fitness,FakeLuxeAura,794
VR Headset,Home & Furniture,FakeLuxeAura,932
Vacuum Cleaner,Electronics,FakeVelvetVista,729
Stove,Toys & Games,FakeLuxeAura,863
Lawn Sprinkler,Toys & Games,FakeUrbanGlow,399
Tarp,Arts & Crafts,FakeVelvetVista,671
Laser Printer,Outdoor & Garden,FakeUrbanGlow,641
Antivirus,Sports & Recreation,FakeEtherealEdge,921
Badminton Set,Arts & Crafts,FakeLuxeAura,394
Tent,Home & Furniture,FakeZenithStyle,804
Juicer,Health & Fitness,FakeZenithStyle,363
Basketball,Kitchen & Dining,FakeVelvetVista,817
Backpack,Pets,FakeLuxeAura,774
Drone,Health & Fitness,FakeZenithStyle,492
3D Printer,Kitchen & Dining,FakeVelvetVista,873
Dog Collar,Sports & Recreation,FakeZenithStyle,466
Memory Card,Pets,FakeZenithStyle,127
Laptop,Sports & Recreation,FakeLuxeAura,417
Camping Tent,Outdoor & Garden,FakeUrbanGlow,413
Smart Light,Pets,FakeZenithStyle,736
Camera,Arts & Crafts,FakeUrbanGlow,697
Dart Board,Arts & Crafts,FakeUrbanGlow,191
Sleeping Bag,Pets,FakeEtherealEdge,746
Refrigerator,Home Appliances,FakeEtherealEdge,837
Board Game,Health & Fitness,FakeVelvetVista,750
Cat Litter Box,Outdoor & Garden,FakeZenithStyle,220
Cat Tree,Kitchen & Dining,FakeZenithStyle,405
Router,Health & Fitness,FakeVelvetVista,985
Patio Furniture,Pets,FakeVelvetVista,345
Sheets,Pets,FakeLuxeAura,197
Toothpaste,Health & Fitness,FakeEtherealEdge,271
Snowboard,Toys & Games,FakeZenithStyle,567
Treadmill,Toys & Games,FakeVelvetVista,484
Garden Hose,Arts & Crafts,FakeEtherealEdge,587
BBQ Grill,Health & Fitness,FakeLuxeAura,154
Electric Kettle,Outdoor & Garden,FakeZenithStyle,430
Laser Printer,Health & Fitness,FakeEtherealEdge,803
Smart Light,Toys & Games,FakeLuxeAura,937
Art Supplies,Electronics,FakeVelvetVista,193
Backpack,Sports & Recreation,FakeVelvetVista,238
Helmet,Pets,FakeLuxeAura,505
Jacket,Pets,FakeUrbanGlow,805
Dog Collar,Health & Fitness,FakeUrbanGlow,932
Home Security Camera,Sports & Recreation,FakeLuxeAura,334
Volleyball,Electronics,FakeVelvetVista,717
Toothpaste,Health & Fitness,FakeUrbanGlow,186
Tent,Pets,FakeEtherealEdge,277
Grill,Sports & Recreation,FakeUrbanGlow,379
Hammock,Kitchen & Dining,FakeZenithStyle,710
Hiking Boots,Electronics,FakeUrbanGlow,160
Art Supplies,Outdoor & Garden,FakeZenithStyle,732
Bicycle,Sports & Recreation,FakeUrbanGlow,787
Water Filter,Electronics,FakeUrbanGlow,680
Oven,Outdoor & Garden,FakeEtherealEdge,307
Power Bank,Home Appliances,FakeZenithStyle,136
Trekking Poles,Outdoor & Garden,FakeEtherealEdge,370
Wi-Fi Extender,Toys & Games,FakeZenithStyle,856
Antivirus,Outdoor & Garden,FakeZenithStyle,280
Thermos,Sports & Recreation,FakeUrbanGlow,612
Tarp,Kitchen & Dining,FakeZenithStyle,690
Lawn Sprinkler,Home Appliances,FakeEtherealEdge,224
Lawn Sprinkler,Toys & Games,FakeVelvetVista,849
Aquarium,Pets,FakeLuxeAura,756
Memory Card,Home Appliances,FakeEtherealEdge,739
Power Bank,Outdoor & Garden,FakeLuxeAura,799
Kayak,Outdoor & Garden,FakeVelvetVista,858
Pet Bed,Kitchen & Dining,FakeZenithStyle,136
Basketball,Home Appliances,FakeVelvetVista,112
Pet Toy,Toys & Games,FakeZenithStyle,970
Camera,Arts & Crafts,FakeZenithStyle,683
Soap,Sports & Recreation,FakeUrbanGlow,120
Game Console,Sports & Recreation,FakeZenithStyle,868
Cat Tree,Home & Furniture,FakeEtherealEdge,581
Robot Vacuum,Health & Fitness,FakeUrbanGlow,826
Basketball,Outdoor & Garden,FakeZenithStyle,147
Smart Thermostat,Outdoor & Garden,FakeLuxeAura,578
Action Figure,Arts & Crafts,FakeEtherealEdge,917
Fitness Tracker,Home & Furniture,FakeZenithStyle,565
Pet Carrier,Toys & Games,FakeEtherealEdge,350
Juicer,Pets,FakeLuxeAura,458
Smart Thermostat,Toys & Games,FakeLuxeAura,192
Coffee Maker,Electronics,FakeEtherealEdge,267
Stove,Health & Fitness,FakeLuxeAura,355
Helmet,Toys & Games,FakeUrbanGlow,569
Ski Goggles,Electronics,FakeVelvetVista,227
Wetsuit,Kitchen & Dining,FakeZenithStyle,386
Wetsuit,Home Appliances,FakeUrbanGlow,629
Portable Charger,Pets,FakeUrbanGlow,738
Portable Hard Drive,Electronics,FakeVelvetVista,158
Lamp,Pets,FakeEtherealEdge,374
Juicer,Home Appliances,FakeEtherealEdge,935
Pet Toy,Arts & Crafts,FakeVelvetVista,227
Volleyball,Electronics,FakeEtherealEdge,255
Tent,Outdoor & Garden,FakeZenithStyle,681
Stove,Health & Fitness,FakeZenithStyle,701
Humidifier,Arts & Crafts,FakeLuxeAura,243
Dumbbells,Pets,FakeLuxeAura,756
3D Printer,Electronics,FakeVelvetVista,652
Power Bank,Home & Furniture,FakeZenithStyle,551
Ping Pong Table,Arts & Crafts,FakeUrbanGlow,441
Smart Thermostat,Home & Furniture,FakeUrbanGlow,989
Snowboard,Arts & Crafts,FakeEtherealEdge,657
Patio Furniture,Pets,FakeLuxeAura,443
Camping Tent,Arts & Crafts,FakeEtherealEdge,767
Pet Feeder,Kitchen & Dining,FakeZenithStyle,231
Supplement,Kitchen & Dining,FakeUrbanGlow,723
Snow Shovel,Pets,FakeZenithStyle,421
Puzzle,Pets,FakeEtherealEdge,499
Fire Pit,Toys & Games,FakeEtherealEdge,843
Tablet,Electronics,FakeZenithStyle,938
Rain Jacket,Health & Fitness,FakeVelvetVista,101
Fishing Rod,Home Appliances,FakeZenithStyle,281
Volleyball,Pets,FakeEtherealEdge,487
Jacket,Kitchen & Dining,FakeEtherealEdge,998
Garden Tools,Sports & Recreation,FakeEtherealEdge,322
Drone,Electronics,FakeEtherealEdge,741
Garden Tools,Home Appliances,FakeZenithStyle,171
Wetsuit,Health & Fitness,FakeLuxeAura,307
Speaker,Kitchen & Dining,FakeEtherealEdge,502
Blender,Electronics,FakeUrbanGlow,195
Wetsuit,Pets,FakeUrbanGlow,781
Electric Shaver,Pets,FakeVelvetVista,168
Electric Car,Sports & Recreation,FakeEtherealEdge,462
Art Supplies,Sports & Recreation,FakeUrbanGlow,412
Power Bank,Pets,FakeZenithStyle,700
Hair Dryer,Health & Fitness,FakeZenithStyle,490
Dart Board,Home Appliances,FakeUrbanGlow,463
Memory Card,Pets,FakeUrbanGlow,714
Bird Cage,Health & Fitness,FakeUrbanGlow,795
Lamp,Electronics,FakeLuxeAura,748
Vacuum Cleaner,Electronics,FakeVelvetVista,998
Action Figure,Outdoor & Garden,FakeLuxeAura,523
Bicycle,Toys & Games,FakeLuxeAura,630
Pet Carrier,Home Appliances,FakeUrbanGlow,325
Dog House,Home Appliances,FakeVelvetVista,900
Hair Dryer,Sports & Recreation,FakeLuxeAura,694
Electric Toothbrush,Home Appliances,FakeZenithStyle,916
Pillow,Sports & Recreation,FakeUrbanGlow,449
Sleeping Pad,Toys & Games,FakeUrbanGlow,926
Stove,Pets,FakeEtherealEdge,800
Pet Toy,Home Appliances,FakeZenithStyle,799
Board Game,Outdoor & Garden,FakeLuxeAura,298
Dehumidifier,Kitchen & Dining,FakeVelvetVista,441
Drone,Electronics,FakeLuxeAura,801
Electric Kettle,Kitchen & Dining,FakeEtherealEdge,781
Wi-Fi Extender,Kitchen & Dining,FakeEtherealEdge,181
Action Figure,Electronics,FakeVelvetVista,882
Suitcase,Sports & Recreation,FakeZenithStyle,563
Fan,Home & Furniture,FakeUrbanGlow,537
Outdoor Umbrella,Electronics,FakeZenithStyle,682
Garden Tools,Arts & Crafts,FakeEtherealEdge,396
Golf Clubs,Electronics,FakeUrbanGlow,687
Plant Pot,Toys & Games,FakeZenithStyle,164
Tennis Racket,Electronics,FakeUrbanGlow,537
Smart Doorbell,Kitchen & Dining,FakeVelvetVista,313
Electric Kettle,Electronics,FakeUrbanGlow,981
Bird Cage,Sports & Recreation,FakeVelvetVista,456
Soccer Ball,Arts & Crafts,FakeLuxeAura,513
Trekking Poles,Sports & Recreation,FakeLuxeAura,853
Dart Board,Home & Furniture,FakeLuxeAura,642
Garden Hose,Electronics,FakeEtherealEdge,304
Mattress,Pets,FakeLuxeAura,148
Cat Tree,Toys & Games,FakeLuxeAura,227
Kayak,Outdoor & Garden,FakeZenithStyle,615
Bluetooth Speaker,Home Appliances,FakeLuxeAura,159
Hair Dryer,Pets,FakeUrbanGlow,457
Electric Kettle,Home & Furniture,FakeVelvetVista,634
Craft Kit,Arts & Crafts,FakeVelvetVista,900
Rain Jacket,Pets,FakeVelvetVista,864
Building Blocks,Pets,FakeLuxeAura,970
Treadmill,Electronics,FakeUrbanGlow,729
Portable Charger,Home & Furniture,FakeVelvetVista,488
Sleeping Bag,Electronics,FakeVelvetVista,285
Dart Board,Kitchen & Dining,FakeVelvetVista,741
Sleeping Pad,Home & Furniture,FakeEtherealEdge,200
Pet Bed,Health & Fitness,FakeEtherealEdge,190
Pillow,Health & Fitness,FakeZenithStyle,759
Tarp,Toys & Games,FakeEtherealEdge,324
Suitcase,Home Appliances,FakeLuxeAura,646
Lamp,Pets,FakeEtherealEdge,812
Dumbbells,Kitchen & Dining,FakeLuxeAura,667
Electric Toothbrush,Health & Fitness,FakeLuxeAura,884
Doll,Kitchen & Dining,FakeZenithStyle,951
Tennis Racket,Toys & Games,FakeLuxeAura,652
Air Purifier,Kitchen & Dining,FakeEtherealEdge,982
Backpacking Stove,Home Appliances,FakeZenithStyle,670
Rain Jacket,Home & Furniture,FakeEtherealEdge,494
Treadmill,Sports & Recreation,FakeEtherealEdge,235
Electric Scooter,Toys & Games,FakeVelvetVista,731
Bed,Pets,FakeUrbanGlow,157
Telescope,Pets,FakeUrbanGlow,197
Dart Board,Electronics,FakeLuxeAura,143
Binoculars,Toys & Games,FakeEtherealEdge,684
Lamp,Sports & Recreation,FakeUrbanGlow,401
Juicer,Outdoor & Garden,FakeZenithStyle,699
BBQ Grill,Kitchen & Dining,FakeEtherealEdge,143
Rain Jacket,Arts & Crafts,FakeUrbanGlow,804
Treadmill,Sports & Recreation,FakeVelvetVista,124
Laser Printer,Toys & Games,FakeEtherealEdge,673
Soccer Ball,Health & Fitness,FakeUrbanGlow,146
Snorkel Gear,Health & Fitness,FakeZenithStyle,300
Glasses,Kitchen & Dining,FakeZenithStyle,729
Backpacking Stove,Home & Furniture,FakeLuxeAura,517
Game Console,Electronics,FakeZenithStyle,959
Bird Cage,Toys & Games,FakeVelvetVista,894
Smartwatch,Electronics,FakeUrbanGlow,696
Snowboard,Toys & Games,FakeVelvetVista,597
Tennis Racket,Electronics,FakeZenithStyle,133
Electric Toothbrush,Outdoor & Garden,FakeUrbanGlow,459
Aquarium,Toys & Games,FakeEtherealEdge,985
Antivirus,Health & Fitness,FakeVelvetVista,567
Tackle Box,Health & Fitness,FakeUrbanGlow,663
Basketball,Sports & Recreation,FakeLuxeAura,180
Electric Car,Toys & Games,FakeUrbanGlow,778
Kayak,Home & Furniture,FakeLuxeAura,483
Pet Feeder,Outdoor & Garden,FakeUrbanGlow,138
Snorkel Gear,Electronics,FakeVelvetVista,383
Binoculars,Pets,FakeVelvetVista,935
External SSD,Kitchen & Dining,FakeVelvetVista,853
Snowboard,Pets,FakeEtherealEdge,381
Hair Dryer,Home Appliances,FakeVelvetVista,532
Hiking Boots,Pets,FakeVelvetVista,601
Hair Dryer,Sports & Recreation,FakeEtherealEdge,448
Baseball Glove,Outdoor & Garden,FakeZenithStyle,474
Yoga Mat,Home & Furniture,FakeEtherealEdge,664
Life Jacket,Electronics,FakeEtherealEdge,641
Monitor,Outdoor & Garden,FakeEtherealEdge,964
Sewing Machine,Sports & Recreation,FakeZenithStyle,734
Garden Tools,Pets,FakeLuxeAura,510
Ski Goggles,Electronics,FakeZenithStyle,352
Vacuum Cleaner,Home Appliances,FakeLuxeAura,947
Garden Tools,Toys & Games,FakeVelvetVista,400
Water Filter,Arts & Crafts,FakeZenithStyle,266
Sewing Machine,Toys & Games,FakeUrbanGlow,577
Aquarium,Electronics,FakeVelvetVista,389
Oven,Pets,FakeUrbanGlow,931
Lawn Mower,Pets,FakeLuxeAura,624
Oven,Toys & Games,FakeVelvetVista,112
Electric Kettle,Toys & Games,FakeEtherealEdge,191
Keyboard,Electronics,FakeVelvetVista,186
Binoculars,Pets,FakeZenithStyle,507
Volleyball,Home Appliances,FakeUrbanGlow,867
Robot Vacuum,Sports & Recreation,FakeLuxeAura,867
Cat Tree,Home & Furniture,FakeEtherealEdge,345
Camera,Health & Fitness,FakeEtherealEdge,921
Speaker,Kitchen & Dining,FakeVelvetVista,470
Pillow,Home Appliances,FakeUrbanGlow,796
Binoculars,Sports & Recreation,FakeLuxeAura,788
Puzzle,Home & Furniture,FakeLuxeAura,616
Volleyball,Toys & Games,FakeEtherealEdge,349
Water Bottle,Health & Fitness,FakeEtherealEdge,499
Dog Collar,Sports & Recreation,FakeZenithStyle,381
Backpack,Sports & Recreation,FakeVelvetVista,851
Snorkel Gear,Outdoor & Garden,FakeZenithStyle,136
Pet Feeder,Toys & Games,FakeEtherealEdge,874
Portable Charger,Arts & Crafts,FakeEtherealEdge,206
Tackle Box,Electronics,FakeVelvetVista,264
Aquarium,Electronics,FakeLuxeAura,169
Doll,Home Appliances,FakeUrbanGlow,766
Power Bank,Kitchen & Dining,FakeZenithStyle,539
Craft Kit,Home Appliances,FakeVelvetVista,747
Doll,Electronics,FakeVelvetVista,982
Refrigerator,Toys & Games,FakeZenithStyle,277
Sled,Arts & Crafts,FakeUrbanGlow,715
Outdoor Umbrella,Sports & Recreation,FakeUrbanGlow,480
Treadmill,Home & Furniture,FakeUrbanGlow,934
Jacket,Electronics,FakeZenithStyle,917
Humidifier,Health & Fitness,FakeVelvetVista,614
Garden Tools,Home Appliances,FakeZenithStyle,931
Humidifier,Sports & Recreation,FakeVelvetVista,238
Dehumidifier,Home & Furniture,FakeEtherealEdge,545
Game Console,Kitchen & Dining,FakeLuxeAura,618
Rain Jacket,Kitchen & Dining,FakeVelvetVista,100
Flashlight,Kitchen & Dining,FakeEtherealEdge,544
Garden Hose,Toys & Games,FakeLuxeAura,875
Hammock,Kitchen & Dining,FakeUrbanGlow,748
Helmet,Health & Fitness,FakeZenithStyle,843
Jacket,Outdoor & Garden,FakeEtherealEdge,634
Power Bank,Home & Furniture,FakeVelvetVista,752
Showerhead,Outdoor & Garden,FakeZenithStyle,278
Jacket,Outdoor & Garden,FakeVelvetVista,591
Plant Pot,Outdoor & Garden,FakeZenithStyle,982
Suitcase,Outdoor & Garden,FakeLuxeAura,674
Thermos,Home & Furniture,FakeVelvetVista,772
Antivirus,Home Appliances,FakeVelvetVista,902
Oven,Electronics,FakeLuxeAura,455
Garden Hose,Home & Furniture,FakeZenithStyle,787
Microwave,Outdoor & Garden,FakeUrbanGlow,613
Wi-Fi Extender,Home Appliances,FakeZenithStyle,169
Thermos,Health & Fitness,FakeLuxeAura,726
Stove,Toys & Games,FakeVelvetVista,607
Aquarium,Home Appliances,FakeLuxeAura,668
Yoga Mat,Health & Fitness,FakeLuxeAura,564
Paddleboard,Arts & Crafts,FakeEtherealEdge,851
Pet Carrier,Arts & Crafts,FakeEtherealEdge,743
Projector,Outdoor & Garden,FakeEtherealEdge,474
Home Security Camera,Toys & Games,FakeZenithStyle,865
Ski Goggles,Toys & Games,FakeEtherealEdge,542
BBQ Grill,Sports & Recreation,FakeLuxeAura,108
Glasses,Outdoor & Garden,FakeEtherealEdge,984
Toothpaste,Health & Fitness,FakeLuxeAura,572
Dog Leash,Home Appliances,FakeLuxeAura,892
Patio Furniture,Electronics,FakeUrbanGlow,782
Golf Clubs,Toys & Games,FakeVelvetVista,384
